Study Name	Tungsten_Calibration
Sample Name	2025-04-28
Run Name	spot01
Operator	Angus
Date	4/28/2025
Time	6:20 PM
Sign	NEG
Grating Spacing	04.00um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	6:21:14 PM
	
Time	Amplitude
0.000000E+0	-3.381374E-3
1.000000E-10	-3.369384E-3
2.000000E-10	-3.359106E-3
3.000000E-10	-3.347115E-3
4.000000E-10	-3.294014E-3
5.000000E-10	-3.196376E-3
6.000000E-10	-3.097025E-3
7.000000E-10	-2.985683E-3
8.000000E-10	-2.920591E-3
9.000000E-10	-2.858924E-3
1.000000E-9	-2.864063E-3
1.100000E-9	-2.877767E-3
1.200000E-9	-2.924017E-3
1.300000E-9	-2.970266E-3
1.400000E-9	-3.040497E-3
1.500000E-9	-3.079895E-3
1.600000E-9	-3.062766E-3
1.700000E-9	-3.021655E-3
1.800000E-9	-2.956563E-3
1.900000E-9	-2.924017E-3
2.000000E-9	-2.977118E-3
2.100000E-9	-3.071330E-3
2.200000E-9	-3.232348E-3
2.300000E-9	-3.338551E-3
2.400000E-9	-3.386513E-3
2.500000E-9	-3.290588E-3
2.600000E-9	-3.119293E-3
2.700000E-9	-2.920591E-3
2.800000E-9	-2.809249E-3
2.900000E-9	-2.761286E-3
3.000000E-9	-2.780129E-3
3.100000E-9	-2.821240E-3
3.200000E-9	-2.846934E-3
3.300000E-9	-2.834943E-3
3.400000E-9	-2.807536E-3
3.500000E-9	-2.759573E-3
3.600000E-9	-2.745870E-3
3.700000E-9	-2.786981E-3
3.800000E-9	-2.867489E-3
3.900000E-9	-2.997673E-3
4.000000E-9	-3.143274E-3
4.100000E-9	-3.239199E-3
4.200000E-9	-3.312856E-3
4.300000E-9	-3.287162E-3
4.400000E-9	-3.228922E-3
4.500000E-9	-3.119293E-3
4.600000E-9	-3.047349E-3
4.700000E-9	-3.025081E-3
4.800000E-9	-3.064479E-3
4.900000E-9	-3.091886E-3
5.000000E-9	-3.085034E-3
5.100000E-9	-3.011377E-3
5.200000E-9	-2.910313E-3
