Study Name	Tungsten_Calibration
Sample Name	2025-04-28
Run Name	spot1
Operator	Angus
Date	4/28/2025
Time	6:28 PM
Sign	POS
Grating Spacing	04.60um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	6:29:16 PM
	
Time	Amplitude
0.000000E+0	-3.831860E-3
1.000000E-10	-3.845563E-3
2.000000E-10	-3.842138E-3
3.000000E-10	-3.826721E-3
4.000000E-10	-3.759916E-3
5.000000E-10	-3.662278E-3
6.000000E-10	-3.561214E-3
7.000000E-10	-3.465289E-3
8.000000E-10	-3.422465E-3
9.000000E-10	-3.417326E-3
1.000000E-9	-3.478992E-3
1.100000E-9	-3.526955E-3
1.200000E-9	-3.557788E-3
1.300000E-9	-3.574917E-3
1.400000E-9	-3.574917E-3
1.500000E-9	-3.562927E-3
1.600000E-9	-3.540658E-3
1.700000E-9	-3.542371E-3
1.800000E-9	-3.557788E-3
1.900000E-9	-3.568066E-3
2.000000E-9	-3.571491E-3
2.100000E-9	-3.573204E-3
2.200000E-9	-3.562927E-3
2.300000E-9	-3.569779E-3
2.400000E-9	-3.612602E-3
2.500000E-9	-3.650287E-3
2.600000E-9	-3.689685E-3
2.700000E-9	-3.720518E-3
2.800000E-9	-3.746212E-3
2.900000E-9	-3.759916E-3
3.000000E-9	-3.727370E-3
3.100000E-9	-3.720518E-3
3.200000E-9	-3.715379E-3
3.300000E-9	-3.729083E-3
3.400000E-9	-3.735935E-3
3.500000E-9	-3.741074E-3
3.600000E-9	-3.780471E-3
3.700000E-9	-3.790749E-3
3.800000E-9	-3.799314E-3
3.900000E-9	-3.811304E-3
4.000000E-9	-3.821582E-3
4.100000E-9	-3.843851E-3
4.200000E-9	-3.879822E-3
4.300000E-9	-3.917507E-3
4.400000E-9	-3.944915E-3
4.500000E-9	-3.972322E-3
4.600000E-9	-3.938063E-3
4.700000E-9	-3.917507E-3
4.800000E-9	-3.869545E-3
4.900000E-9	-3.821582E-3
5.000000E-9	-3.759916E-3
5.100000E-9	-3.735935E-3
5.200000E-9	-3.713666E-3
5.300000E-9	-3.701676E-3
5.400000E-9	-3.677694E-3
5.500000E-9	-3.669130E-3
5.600000E-9	-3.674268E-3
5.700000E-9	-3.718805E-3
5.800000E-9	-3.787323E-3
5.900000E-9	-3.830147E-3
6.000000E-9	-3.826721E-3
6.100000E-9	-3.785610E-3
6.200000E-9	-3.737648E-3
6.300000E-9	-3.663991E-3
6.400000E-9	-3.593760E-3
6.500000E-9	-3.550936E-3
6.600000E-9	-3.533807E-3
6.700000E-9	-3.556075E-3
6.800000E-9	-3.547510E-3
6.900000E-9	-3.595473E-3
7.000000E-9	-3.638297E-3
7.100000E-9	-3.684546E-3
7.200000E-9	-3.734222E-3
7.300000E-9	-3.773620E-3
7.400000E-9	-3.794175E-3
7.500000E-9	-3.789036E-3
7.600000E-9	-3.742786E-3
7.700000E-9	-3.681120E-3
7.800000E-9	-3.607463E-3
7.900000E-9	-3.521816E-3
8.000000E-9	-3.441307E-3
8.100000E-9	-3.395058E-3
8.200000E-9	-3.388206E-3
8.300000E-9	-3.453298E-3
8.400000E-9	-3.562927E-3
8.500000E-9	-3.732509E-3
8.600000E-9	-3.914081E-3
8.700000E-9	-4.011720E-3
8.800000E-9	-4.052830E-3
8.900000E-9	-4.004868E-3
9.000000E-9	-3.888387E-3
9.100000E-9	-3.778758E-3
9.200000E-9	-3.717092E-3
9.300000E-9	-3.729083E-3
9.400000E-9	-3.802740E-3
9.500000E-9	-3.898665E-3
9.600000E-9	-3.975748E-3
9.700000E-9	-3.982599E-3
9.800000E-9	-3.896952E-3
9.900000E-9	-3.804453E-3
1.000000E-8	-3.693111E-3
1.010000E-8	-3.629732E-3
1.020000E-8	-3.622880E-3
1.030000E-8	-3.626306E-3
1.040000E-8	-3.648574E-3
1.050000E-8	-3.691398E-3
1.060000E-8	-3.710240E-3
1.070000E-8	-3.729083E-3
1.080000E-8	-3.742786E-3
1.090000E-8	-3.730796E-3
1.100000E-8	-3.717092E-3
1.110000E-8	-3.701676E-3
1.120000E-8	-3.705102E-3
1.130000E-8	-3.675981E-3
1.140000E-8	-3.640009E-3
1.150000E-8	-3.616028E-3
1.160000E-8	-3.580056E-3
1.170000E-8	-3.552649E-3
1.180000E-8	-3.509825E-3
1.190000E-8	-3.473853E-3
1.200000E-8	-3.444733E-3
1.210000E-8	-3.443020E-3
1.220000E-8	-3.460150E-3
1.230000E-8	-3.502973E-3
1.240000E-8	-3.569779E-3
1.250000E-8	-3.631445E-3
1.260000E-8	-3.718805E-3
1.270000E-8	-3.770194E-3
1.280000E-8	-3.831860E-3
1.290000E-8	-3.876397E-3
1.300000E-8	-3.955192E-3
1.310000E-8	-4.001442E-3
1.320000E-8	-4.028849E-3
1.330000E-8	-4.010007E-3
1.340000E-8	-3.948340E-3
1.350000E-8	-3.859267E-3
1.360000E-8	-3.789036E-3
1.370000E-8	-3.780471E-3
1.380000E-8	-3.842138E-3
1.390000E-8	-3.927785E-3
1.400000E-8	-3.986025E-3
1.410000E-8	-3.996303E-3
1.420000E-8	-3.980887E-3
1.430000E-8	-3.943202E-3
1.440000E-8	-3.924359E-3
1.450000E-8	-3.917507E-3
1.460000E-8	-3.907230E-3
1.470000E-8	-3.872971E-3
1.480000E-8	-3.795888E-3
1.490000E-8	-3.691398E-3
1.500000E-8	-3.581769E-3
1.510000E-8	-3.480705E-3
1.520000E-8	-3.463576E-3
1.530000E-8	-3.497835E-3
1.540000E-8	-3.598899E-3
1.550000E-8	-3.725657E-3
1.560000E-8	-3.871258E-3
1.570000E-8	-3.994590E-3
1.580000E-8	-4.069960E-3
1.590000E-8	-4.109358E-3
1.600000E-8	-4.083664E-3
1.610000E-8	-4.039127E-3
1.620000E-8	-3.980887E-3
1.630000E-8	-3.943202E-3
1.640000E-8	-3.915794E-3
1.650000E-8	-3.929498E-3
1.660000E-8	-3.922646E-3
1.670000E-8	-3.883248E-3
1.680000E-8	-3.871258E-3
1.690000E-8	-3.830147E-3
1.700000E-8	-3.825008E-3
1.710000E-8	-3.826721E-3
1.720000E-8	-3.771907E-3
1.730000E-8	-3.730796E-3
1.740000E-8	-3.696537E-3
1.750000E-8	-3.684546E-3
1.760000E-8	-3.729083E-3
1.770000E-8	-3.799314E-3
1.780000E-8	-3.867832E-3
1.790000E-8	-3.905517E-3
1.800000E-8	-3.866119E-3
1.810000E-8	-3.782184E-3
1.820000E-8	-3.677694E-3
1.830000E-8	-3.600612E-3
1.840000E-8	-3.566353E-3
1.850000E-8	-3.583482E-3
1.860000E-8	-3.576630E-3
1.870000E-8	-3.574917E-3
1.880000E-8	-3.549223E-3
1.890000E-8	-3.562927E-3
1.900000E-8	-3.578343E-3
1.910000E-8	-3.605750E-3
1.920000E-8	-3.682833E-3
1.930000E-8	-3.775333E-3
1.940000E-8	-3.840425E-3
1.950000E-8	-3.898665E-3
1.960000E-8	-3.890100E-3
1.970000E-8	-3.871258E-3
1.980000E-8	-3.847276E-3
1.990000E-8	-3.806166E-3
2.000000E-8	-3.789036E-3
2.010000E-8	-3.756490E-3
2.020000E-8	-3.775333E-3
2.030000E-8	-3.780471E-3
2.040000E-8	-3.795888E-3
2.050000E-8	-3.799314E-3
2.060000E-8	-3.785610E-3
2.070000E-8	-3.787323E-3
2.080000E-8	-3.790749E-3
2.090000E-8	-3.763342E-3
2.100000E-8	-3.699963E-3
2.110000E-8	-3.629732E-3
2.120000E-8	-3.530381E-3
2.130000E-8	-3.465289E-3
2.140000E-8	-3.478992E-3
2.150000E-8	-3.545797E-3
2.160000E-8	-3.701676E-3
2.170000E-8	-3.833573E-3
2.180000E-8	-3.943202E-3
2.190000E-8	-3.987738E-3
2.200000E-8	-3.941489E-3
2.210000E-8	-3.821582E-3
2.220000E-8	-3.687972E-3
2.230000E-8	-3.609176E-3
2.240000E-8	-3.576630E-3
2.250000E-8	-3.595473E-3
2.260000E-8	-3.646861E-3
2.270000E-8	-3.694824E-3
2.280000E-8	-3.729083E-3
2.290000E-8	-3.720518E-3
2.300000E-8	-3.646861E-3
2.310000E-8	-3.547510E-3
2.320000E-8	-3.458437E-3
2.330000E-8	-3.419039E-3
2.340000E-8	-3.417326E-3
2.350000E-8	-3.460150E-3
2.360000E-8	-3.544084E-3
2.370000E-8	-3.622880E-3
2.380000E-8	-3.693111E-3
2.390000E-8	-3.742786E-3
2.400000E-8	-3.783897E-3
2.410000E-8	-3.843851E-3
2.420000E-8	-3.920933E-3
2.430000E-8	-3.984312E-3
2.440000E-8	-3.979174E-3
2.450000E-8	-3.843851E-3
2.460000E-8	-3.403622E-3
2.470000E-8	-2.514601E-3
2.480000E-8	-1.019196E-3
2.490000E-8	1.166528E-3
2.500000E-8	4.032294E-3
2.510000E-8	7.511295E-3
2.520000E-8	1.128835E-2
2.530000E-8	1.499004E-2
2.540000E-8	1.823436E-2
2.550000E-8	2.064620E-2
2.560000E-8	2.200628E-2
2.570000E-8	2.218443E-2
2.580000E-8	2.118064E-2
2.590000E-8	1.914223E-2
2.600000E-8	1.632785E-2
2.610000E-8	1.305269E-2
2.620000E-8	9.832343E-3
2.630000E-8	7.100187E-3
2.640000E-8	5.241637E-3
2.650000E-8	4.410856E-3
2.660000E-8	4.623262E-3
2.670000E-8	5.769225E-3
2.680000E-8	7.572962E-3
2.690000E-8	9.695307E-3
2.700000E-8	1.179024E-2
2.710000E-8	1.360768E-2
2.720000E-8	1.500716E-2
2.730000E-8	1.582595E-2
